file,overhead,unrecovered,run
ez_0041-txt.txt_nc12.fasta,16,-1,04
ez_0041-txt.txt_nc12.fasta,7,-1,01
ez_0041-txt.txt_nc12.fasta,5,-1,00
ez_0041-txt.txt_nc12.fasta,2,-1,02
ez_0041-txt.txt_nc12.fasta,3,-1,03
ez_0040-txt.txt_nc19.fasta,33,-1,04
ez_0040-txt.txt_nc19.fasta,11,-1,01
ez_0040-txt.txt_nc19.fasta,16,-1,00
ez_0040-txt.txt_nc19.fasta,21,-1,02
ez_0040-txt.txt_nc19.fasta,0,-1,03
ez_0044-txt.txt_nc28.fasta,18,-1,04
ez_0044-txt.txt_nc28.fasta,19,-1,02
ez_0044-txt.txt_nc28.fasta,11,-1,03
ez_0044-txt.txt_nc28.fasta,40,-1,01
ez_0044-txt.txt_nc28.fasta,18,-1,00
ez_0043-txt.txt_nc69.fasta,68,-1,04
ez_0043-txt.txt_nc69.fasta,94,-1,01
ez_0043-txt.txt_nc69.fasta,65,-1,00
ez_0043-txt.txt_nc69.fasta,52,-1,02
ez_0043-txt.txt_nc69.fasta,118,-1,03
ez_0042-txt.txt_nc94.fasta,38,-1,03
ez_0042-txt.txt_nc94.fasta,42,-1,02
ez_0042-txt.txt_nc94.fasta,29,-1,00
ez_0042-txt.txt_nc94.fasta,45,-1,01
ez_0042-txt.txt_nc94.fasta,35,-1,04
ez_0023-xlsx.xlsx_nc578.fasta,193,-1,03
ez_0023-xlsx.xlsx_nc578.fasta,154,-1,02
ez_0023-xlsx.xlsx_nc578.fasta,157,-1,04
ez_0023-xlsx.xlsx_nc578.fasta,184,-1,01
ez_0023-xlsx.xlsx_nc578.fasta,187,-1,00
ez_0024-xlsx.xlsx_nc651.fasta,196,-1,02
ez_0024-xlsx.xlsx_nc651.fasta,202,-1,04
ez_0024-xlsx.xlsx_nc651.fasta,158,-1,03
ez_0024-xlsx.xlsx_nc651.fasta,221,-1,00
ez_0024-xlsx.xlsx_nc651.fasta,192,-1,01
ez_0022-xlsx.xlsx_nc5640.fasta,913,-1,02
ez_0022-xlsx.xlsx_nc5640.fasta,1031,-1,03
ez_0022-xlsx.xlsx_nc5640.fasta,994,-1,01
ez_0022-xlsx.xlsx_nc5640.fasta,941,-1,04
ez_0022-xlsx.xlsx_nc5640.fasta,961,-1,00
ez_0030-zip-highcompress.zip_nc6973.fasta,1066,-1,00
ez_0030-zip-highcompress.zip_nc6973.fasta,1020,-1,01
ez_0030-zip-highcompress.zip_nc6973.fasta,981,-1,02
ez_0030-zip-highcompress.zip_nc6973.fasta,1017,-1,04
ez_0030-zip-highcompress.zip_nc6973.fasta,1002,-1,03
ez_0033-zip-highcompress.zip_nc15761.fasta,1901,-1,04
ez_0033-zip-highcompress.zip_nc15761.fasta,2052,-1,03
ez_0033-zip-highcompress.zip_nc15761.fasta,2012,-1,02
ez_0033-zip-highcompress.zip_nc15761.fasta,2046,-1,01
ez_0033-zip-highcompress.zip_nc15761.fasta,2016,-1,00
ez_0020-xlsx.xlsx_nc50155.fasta,3959,-1,04
ez_0020-xlsx.xlsx_nc50155.fasta,3968,-1,01
ez_0020-xlsx.xlsx_nc50155.fasta,4198,-1,00
ez_0020-xlsx.xlsx_nc50155.fasta,4004,-1,02
ez_0020-xlsx.xlsx_nc50155.fasta,4114,-1,03
ez_0021-xlsx.xlsx_nc51777.fasta,3808,-1,00
ez_0021-xlsx.xlsx_nc51777.fasta,3775,-1,01
ez_0021-xlsx.xlsx_nc51777.fasta,3905,-1,03
ez_0021-xlsx.xlsx_nc51777.fasta,3790,-1,02
ez_0021-xlsx.xlsx_nc51777.fasta,3822,-1,04
ez_0034-zip-highcompress.zip_nc93894.fasta,5534,-1,04
ez_0034-zip-highcompress.zip_nc93894.fasta,5499,-1,03
ez_0034-zip-highcompress.zip_nc93894.fasta,5497,-1,02
ez_0034-zip-highcompress.zip_nc93894.fasta,5551,-1,01
ez_0034-zip-highcompress.zip_nc93894.fasta,5713,-1,00
ez_0014-bmp.bmp_nc99559.fasta,5992,-1,03
ez_0014-bmp.bmp_nc99559.fasta,6091,-1,04
ez_0014-bmp.bmp_nc99559.fasta,5907,-1,02
ez_0014-bmp.bmp_nc99559.fasta,6044,-1,01
ez_0014-bmp.bmp_nc99559.fasta,6328,-1,00
ez_0031-zip-highcompress.zip_nc121879.fasta,6392,-1,03
ez_0031-zip-highcompress.zip_nc121879.fasta,6798,-1,02
ez_0031-zip-highcompress.zip_nc121879.fasta,6791,-1,04
ez_0031-zip-highcompress.zip_nc121879.fasta,6600,-1,01
ez_0031-zip-highcompress.zip_nc121879.fasta,6725,-1,00
ez_0013-bmp.bmp_nc131130.fasta,6708,-1,02
ez_0013-bmp.bmp_nc131130.fasta,6902,-1,03
ez_0013-bmp.bmp_nc131130.fasta,6455,-1,01
ez_0013-bmp.bmp_nc131130.fasta,6482,-1,00
ez_0013-bmp.bmp_nc131130.fasta,6458,-1,04
ez_0011-bmp.bmp_nc131130.fasta,7312,-1,03
ez_0011-bmp.bmp_nc131130.fasta,7193,-1,02
ez_0011-bmp.bmp_nc131130.fasta,7276,-1,04
ez_0011-bmp.bmp_nc131130.fasta,7071,-1,00
ez_0011-bmp.bmp_nc131130.fasta,7223,-1,01
ez_0012-bmp.bmp_nc131130.fasta,7451,-1,02
ez_0012-bmp.bmp_nc131130.fasta,7271,-1,03
ez_0012-bmp.bmp_nc131130.fasta,7602,-1,01
ez_0012-bmp.bmp_nc131130.fasta,7455,-1,04
ez_0012-bmp.bmp_nc131130.fasta,7488,-1,00
ez_0010-bmp.bmp_nc131130.fasta,8018,-1,03
ez_0010-bmp.bmp_nc131130.fasta,7948,-1,02
ez_0010-bmp.bmp_nc131130.fasta,8104,-1,00
ez_0010-bmp.bmp_nc131130.fasta,8241,-1,04
ez_0010-bmp.bmp_nc131130.fasta,8443,-1,01
ez_0032-zip-highcompress.zip_nc210222.fasta,9430,-1,00
ez_0032-zip-highcompress.zip_nc210222.fasta,9259,-1,01
ez_0032-zip-highcompress.zip_nc210222.fasta,8838,-1,04
ez_0032-zip-highcompress.zip_nc210222.fasta,9292,-1,02
ez_0032-zip-highcompress.zip_nc210222.fasta,8977,-1,03
